date,open,high,low,volume,sentiment
2021/11/23 15:00,58.8,59.35,58.78,1016762,0.5
2021/11/24 10:30,58.71,60.35,58.32,2653105,0.5
2021/11/24 11:30,59.28,59.5,58.6,643373,0.5
2021/11/24 14:00,58.82,58.82,58.3,820335,0.5
2021/11/24 15:00,58.3,58.78,58.08,1161279,0.5
2021/11/25 10:30,59.18,60.3,58.6,2465712,0.5
2021/11/25 11:30,59.67,59.96,59.59,843056,0.5
2021/11/25 14:00,59.91,60.2,59.66,1237910,0.5
2021/11/25 15:00,59.83,60.14,59.76,987139,0.5
2021/11/26 10:30,60.92,60.93,59.7,2103030,0.5
2021/11/26 11:30,59.81,59.99,58.72,1176998,0.5
2021/11/26 14:00,59.09,59.24,58.75,697880,0.5
2021/11/26 15:00,59.01,59.2,58.89,753387,0.5
2021/11/29 10:30,61,62.5,60.1,5756721,0.5
2021/11/29 11:30,60.41,60.65,59.78,1126577,0.5
2021/11/29 14:00,60.5,61.59,60.08,1551411,0.5
2021/11/29 15:00,61.31,61.55,61,1397748,0.5
2021/11/30 10:30,60.58,61.5,59.8,3123176,0.5
2021/11/30 11:30,59.81,60.18,59.68,1060547,0.5
2021/11/30 14:00,59.96,60.62,59.5,2009148,0.5
2021/11/30 15:00,60.37,60.95,59.75,3966739,0.5
2021/12/1 10:30,59.8,60.27,58.13,3300983,0.5
2021/12/1 11:30,58.5,58.89,58.32,815832,0.5
2021/12/1 14:00,58.63,58.7,58.1,1437946,0.5
2021/12/1 15:00,58.18,58.34,57.51,2030680,0.5
2021/12/2 10:30,57.78,58.2,56.62,2488838,0.5
2021/12/2 11:30,56.79,57.25,56.57,1039405,0.5
2021/12/2 14:00,56.87,57.07,56.38,881324,0.5
2021/12/2 15:00,56.4,56.63,55.54,2118568,0.5
2021/12/3 10:30,56.68,57.44,56.3,1747479,0.5
2021/12/3 11:30,56.89,57.3,56.84,604216,0.5
2021/12/3 14:00,57.1,57.29,56.92,672625,0.5
2021/12/3 15:00,57,57.04,56.78,699855,0.5
2021/12/6 10:30,59.9,59.96,57.45,4064983,0.5
2021/12/6 11:30,57.53,58.45,57.25,1086305,0.5
2021/12/6 14:00,57.89,57.96,56.82,1091184,0.5
2021/12/6 15:00,56.83,57.13,56.28,1187551,0.5
2021/12/7 10:30,55.62,56.97,54.8,2307226,0.5
2021/12/7 11:30,56.9,56.93,56.2,1166170,0.5
2021/12/7 14:00,56.47,56.57,55.8,414838,0.5
2021/12/7 15:00,55.98,56.5,55.5,665003,0.5
2021/12/8 10:30,56.56,57.47,55.88,1935421,0.5
2021/12/8 11:30,57.46,58.32,57.35,1058878,0.5
2021/12/8 14:00,57.36,57.76,57.23,735004,0.5
2021/12/8 15:00,57.59,57.95,57.32,1067962,0.5
2021/12/9 10:30,59,60.55,58.58,6257102,0.5
2021/12/9 11:30,59.87,59.9,59.44,1190381,0.5
2021/12/9 14:00,59.7,59.77,59.16,1231195,0.5
2021/12/9 15:00,59.45,59.99,59.27,2546525,0.5
2021/12/10 10:30,59.49,59.77,58.65,3554240,0.5
2021/12/10 11:30,59.65,63.98,59.65,6898798,0.5
2021/12/10 14:00,63.87,64.56,63.52,4933022,0.5
2021/12/10 15:00,63.9,64.52,63.5,3999520,0.5
2021/12/13 10:30,63,64.44,62.7,4268049,0.5
2021/12/13 11:30,64.2,64.94,64.05,3027864,0.5
